1,1,0.0055248618784530384,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
1,2,0.0055248618784530384,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
2,1,0.011049723756906077,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
2,2,0.011049723756906077,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
3,1,0.016574585635359115,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
3,2,0.016574585635359115,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
4,1,0.022099447513812154,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
4,2,0.022099447513812154,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
5,1,0.027624309392265192,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
5,2,0.027624309392265192,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
6,1,0.03314917127071823,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
6,2,0.03314917127071823,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
7,1,0.03867403314917127,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
7,2,0.03867403314917127,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
8,1,0.04419889502762431,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
8,2,0.04419889502762431,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
9,1,0.049723756906077346,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
9,2,0.049723756906077346,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
10,1,0.055248618784530384,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
10,2,0.055248618784530384,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
11,1,0.06077348066298342,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
11,2,0.06077348066298342,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
12,1,0.06629834254143646,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
12,2,0.06629834254143646,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
13,1,0.0718232044198895,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
13,2,0.0718232044198895,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
14,1,0.07734806629834254,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
14,2,0.07734806629834254,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
15,1,0.08287292817679558,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
15,2,0.08287292817679558,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
16,1,0.08839779005524862,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
16,2,0.08839779005524862,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
17,1,0.09392265193370165,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
17,2,0.09392265193370165,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
18,1,0.09944751381215469,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
18,2,0.09944751381215469,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
19,1,0.10497237569060773,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
19,2,0.10497237569060773,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
20,1,0.11049723756906077,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
20,2,0.11049723756906077,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
21,1,0.11602209944751381,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
21,2,0.11602209944751381,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
22,1,0.12154696132596685,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
22,2,0.12154696132596685,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
23,1,0.1270718232044199,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
23,2,0.1270718232044199,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
24,1,0.13259668508287292,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
24,2,0.13259668508287292,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
25,1,0.13812154696132597,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
25,2,0.13812154696132597,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
26,1,0.143646408839779,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
26,2,0.143646408839779,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
27,1,0.14917127071823205,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
27,2,0.14917127071823205,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
28,1,0.15469613259668508,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
28,2,0.15469613259668508,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
29,1,0.16022099447513813,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
29,2,0.16022099447513813,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
30,1,0.16574585635359115,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
30,2,0.16574585635359115,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
31,1,0.1712707182320442,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
31,2,0.1712707182320442,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
32,1,0.17679558011049723,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
32,2,0.17679558011049723,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
33,1,0.18232044198895028,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
33,2,0.18232044198895028,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
34,1,0.1878453038674033,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
34,2,0.1878453038674033,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
35,1,0.19337016574585636,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
35,2,0.19337016574585636,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
36,1,0.19889502762430938,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
36,2,0.19889502762430938,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
37,1,0.20441988950276244,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
37,2,0.20441988950276244,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
38,1,0.20994475138121546,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
38,2,0.20994475138121546,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
39,1,0.2154696132596685,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
39,2,0.2154696132596685,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
40,1,0.22099447513812154,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
40,2,0.22099447513812154,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
41,1,0.2265193370165746,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4])
41,2,0.2265193370165746,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
42,1,0.23204419889502761,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
42,2,0.23204419889502761,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
43,1,0.23756906077348067,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
43,2,0.23756906077348067,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
44,1,0.2430939226519337,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
44,2,0.2430939226519337,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
45,1,0.24861878453038674,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
45,2,0.24861878453038674,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
46,1,0.2541436464088398,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
46,2,0.2541436464088398,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
47,1,0.2596685082872928,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
47,2,0.2596685082872928,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
48,1,0.26519337016574585,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
48,2,0.26519337016574585,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
49,1,0.27071823204419887,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
49,2,0.27071823204419887,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
50,1,0.27624309392265195,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
50,2,0.27624309392265195,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
51,1,0.281767955801105,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
51,2,0.281767955801105,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
52,1,0.287292817679558,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
52,2,0.287292817679558,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
53,1,0.292817679558011,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4])
53,2,0.292817679558011,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
54,1,0.2983425414364641,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
54,2,0.2983425414364641,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
55,1,0.30386740331491713,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
55,2,0.30386740331491713,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
56,1,0.30939226519337015,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
56,2,0.30939226519337015,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
57,1,0.3149171270718232,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
57,2,0.3149171270718232,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
58,1,0.32044198895027626,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
58,2,0.32044198895027626,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
59,1,0.3259668508287293,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
59,2,0.3259668508287293,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
60,1,0.3314917127071823,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
60,2,0.3314917127071823,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
61,1,0.3370165745856354,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4])
61,2,0.3370165745856354,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
62,1,0.3425414364640884,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
62,2,0.3425414364640884,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
63,1,0.34806629834254144,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
63,2,0.34806629834254144,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
64,1,0.35359116022099446,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
64,2,0.35359116022099446,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
65,1,0.35911602209944754,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
65,2,0.35911602209944754,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
66,1,0.36464088397790057,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
66,2,0.36464088397790057,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
67,1,0.3701657458563536,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
67,2,0.3701657458563536,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
68,1,0.3756906077348066,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
68,2,0.3756906077348066,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
69,1,0.3812154696132597,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
69,2,0.3812154696132597,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
70,1,0.3867403314917127,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
70,2,0.3867403314917127,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
71,1,0.39226519337016574,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
71,2,0.39226519337016574,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
72,1,0.39779005524861877,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
72,2,0.39779005524861877,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
73,1,0.40331491712707185,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
73,2,0.40331491712707185,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
74,1,0.4088397790055249,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
74,2,0.4088397790055249,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
75,1,0.4143646408839779,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
75,2,0.4143646408839779,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
76,1,0.4198895027624309,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
76,2,0.4198895027624309,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
77,1,0.425414364640884,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
77,2,0.425414364640884,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
78,1,0.430939226519337,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
78,2,0.430939226519337,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
79,1,0.43646408839779005,AgentGG@4,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
79,2,0.43646408839779005,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
80,1,0.4419889502762431,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
80,2,0.4419889502762431,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
81,1,0.44751381215469616,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
81,2,0.44751381215469616,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
82,1,0.4530386740331492,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
82,2,0.4530386740331492,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
83,1,0.4585635359116022,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
83,2,0.4585635359116022,AgentGG@5,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
84,1,0.46408839779005523,AgentGG@4,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
